center,in_degree,out_degree,total_degree,weighted_in_degree,weighted_out_degree,weighted_total_degree
IND000000AAL,1,1,2,17,18,35
IND411033AAA,23,20,43,330,403,733
IND000000AAQ,0,1,1,0,2,2
IND700028AAB,2,1,3,25,11,36
IND000000AAS,1,1,2,8,9,17
IND783370AAC,1,1,2,9,8,17
IND000000AAZ,2,2,4,2,2,4
IND444203AAA,2,1,3,3,5,8
IND444303AAA,1,1,2,1,2,3
IND000000ABA,1,1,2,16,7,23
IND683565AAA,1,1,2,7,13,20
IND000000ABD,1,1,2,13,12,25
IND562132AAA,36,35,71,665,768,1433
IND000000ABG,0,1,1,0,11,11
IND501359AAF,3,0,3,59,0,59
IND000000ACA,13,9,22,134,128,262
IND140406AAA,1,1,2,2,7,9
IND142001AAB,2,2,4,27,30,57
IND142401AAA,2,1,3,15,6,21
IND143001AAA,3,1,4,29,19,48
IND144001AAB,5,5,10,76,58,134
IND144514AAA,1,2,3,12,6,18
IND147301AAA,2,2,4,4,2,6
IND152026AAA,6,7,13,35,37,72
IND160002AAC,32,29,61,431,370,801
IND000000ACB,45,49,94,928,1063,1991
IND000000AEL,1,1,2,23,17,40
IND110024AAA,3,1,4,31,9,40
IND110030AAD,2,1,3,58,7,65
IND110037AAK,1,1,2,39,43,82
IND110043AAA,3,2,5,32,38,70
IND110043AAC,1,1,2,9,1,10
IND110052AAA,1,1,2,2,10,12
IND110064AAA,2,3,5,50,42,92
IND110085AAB,4,5,9,50,18,68
IND110092AAC,3,2,5,7,7,14
IND110095AAB,1,1,2,36,1,37
IND121002AAB,1,1,2,57,29,86
IND121004AAB,9,7,16,145,169,314
IND122001AAA,2,5,7,59,26,85
IND122015AAC,1,0,1,2,0,2
IND124103AAA,1,1,2,13,9,22
IND124112AAA,1,3,4,7,8,15
IND125001AAA,7,8,15,27,46,73
IND125005AAA,4,5,9,9,14,23
IND125033AAA,2,2,4,6,5,11
IND127021AAA,2,1,3,11,8,19
IND131028AAB,20,20,40,329,245,574
IND201001AAC,2,2,4,12,3,15
IND201007AAA,8,5,13,49,21,70
IND201301AAF,8,3,11,88,32,120
IND201301AAM,1,1,2,39,27,66
IND209304AAA,16,13,29,172,220,392
IND282002AAD,6,5,11,30,30,60
IND301001AAB,5,3,8,37,18,55
IND301705AAA,2,1,3,7,1,8
IND302014AAA,10,8,18,96,96,192
IND302022AAD,1,1,2,20,7,27
IND328001AAA,3,3,6,13,14,27
IND382430AAB,17,13,30,257,280,537
IND390022AAA,5,4,9,28,50,78
IND421302AAG,29,29,58,583,821,1404
IND462022AAA,13,9,22,143,123,266
IND474003AAA,8,6,14,43,40,83
IND501359AAE,30,27,57,405,329,734
IND521225AAB,8,8,16,61,71,132
IND600056AAB,18,18,36,241,300,541
IND712311AAA,24,22,46,219,262,481
IND751002AAB,13,6,19,85,79,164
IND821115AAB,6,5,11,48,32,80
