center,in_degree,out_degree,total_degree,weighted_in_degree,weighted_out_degree,weighted_total_degree,betweenness_centrality,pagerank,source_trips,source_delayed_trips,source_avg_delay_ratio,destination_trips,destination_delayed_trips,destination_avg_delay_ratio,total_trips_handled,total_delayed_trips_handled,hub_delay_rate,weighted_total_degree_scaled,betweenness_centrality_scaled,pagerank_scaled,hub_delay_rate_scaled,total_delayed_trips_handled_scaled,bottleneck_score
IND000000AAL,1,1,2,17,18,35,0.0,0.0003809220244150117,18.0,18.0,2.6950000000000003,17.0,17.0,2.703703703703704,35.0,35.0,1.0,0.017085427135678396,0.0,0.013807232026914931,1.0,0.018144116122343183,0.15975442060765405
IND411033AAA,23,20,43,330,403,733,0.04325401183047964,0.00739365835226849,403.0,392.0,2.0237783088452987,330.0,321.0,2.3026741780956956,733.0,713.0,0.9727148703956344,0.3678391959798995,0.19640587685007088,0.37885432590136814,0.9727148703956344,0.3696215655780197,0.4181825987838143
IND000000AAQ,0,1,1,0,2,2,0.0,0.00011567822643110314,2.0,2.0,6.071428571428571,0.0,0.0,0.0,2.0,2.0,1.0,0.0005025125628140704,0.0,0.0,1.0,0.0010368066355624676,0.15028114913603788
IND700028AAB,2,1,3,25,11,36,0.00040354948406964695,0.0008625191286880946,11.0,11.0,4.473684210526316,25.0,25.0,4.798872180451127,36.0,36.0,1.0,0.017587939698492466,0.0018324193968810366,0.03887670777990579,1.0,0.01866251944012442,0.1654298092458432
IND000000AAS,1,1,2,8,9,17,0.0032247471430447918,0.0005808800041882108,9.0,9.0,1.7666666666666666,8.0,8.0,2.4646938775510203,17.0,17.0,1.0,0.008040201005025126,0.014642787187734721,0.024216019125225204,1.0,0.008812856402280975,0.16183587933357715
IND783370AAC,1,1,2,9,8,17,0.0032225579053373615,0.0006094835885367717,8.0,8.0,2.65625,9.0,9.0,1.7666666666666666,17.0,17.0,1.0,0.008040201005025126,0.014632846395346578,0.025704975055218227,1.0,0.008812856402280975,0.16213118532147872
IND000000AAZ,2,2,4,2,2,4,0.0016149276821810646,0.00042623054129894663,2.0,2.0,5.010416666666666,2.0,2.0,5.725,4.0,4.0,1.0,0.0015075376884422112,0.007332991184986861,0.0161657610864703,1.0,0.002073613271124935,0.1557543264263201
IND444203AAA,2,1,3,3,5,8,0.0016105492067662042,0.0005493298776771212,5.0,5.0,2.5,3.0,3.0,4.631628787878787,8.0,8.0,1.0,0.0035175879396984926,0.007313109600210576,0.022573681319296324,1.0,0.00414722654224987,0.157844494630174
IND444303AAA,1,1,2,1,2,3,0.0,0.00029689132547024947,2.0,2.0,3.242424242424242,1.0,1.0,4.0,3.0,3.0,1.0,0.0010050251256281408,0.0,0.009433024725809421,1.0,0.0015552099533437014,0.15237114271957047
IND000000ABA,1,1,2,16,7,23,0.0004053738488258389,0.0005735602899762027,7.0,3.0,1.0952380952380951,16.0,7.0,1.1829810901001112,23.0,10.0,0.43478260869565216,0.01105527638190955,0.0018407033905378227,0.02383499233679853,0.43478260869565216,0.005184033177812338,0.07398598969149123
IND683565AAA,1,1,2,7,13,20,0.0004031846111184086,0.000603506504758742,13.0,13.0,1.894736842105263,7.0,3.0,1.0952380952380951,20.0,16.0,0.8,0.00954773869346734,0.0018307625981496796,0.02539383872255053,0.8,0.00829445308449974,0.1291675610300893
