source_center,destination_center,corridor,route_type,recommended_route_type,route_type_changed,actual_time,predicted_actual_time,osrm_time,actual_distance_to_destination,delay_risk_score,delay_risk_category,corridor_median_delay_ratio,corridor_delay_rate,source_bottleneck_score,destination_bottleneck_score,recommendation_reason
IND641664AAA,IND638657AAA,IND641664AAA -> IND638657AAA,Carting,Carting,False,51.0,56.52614,37.0,36.31804158671872,0.3218410269881594,Low,1.4473684210526316,1.0,0.1602785684730931,0.1608913585200195,"Recommended Carting because delay risk is low or distance is shorter, so cost-efficient movement may be acceptable."
IND638657AAA,IND638701AAA,IND638657AAA -> IND638701AAA,Carting,Carting,False,44.0,50.078617,32.0,31.46840091384205,0.32337454208156324,Low,1.4747126436781608,1.0,0.1608913585200195,0.1616987544316473,"Recommended Carting because delay risk is low or distance is shorter, so cost-efficient movement may be acceptable."
IND638701AAA,IND641607AAA,IND638701AAA -> IND641607AAA,Carting,Carting,False,39.0,46.59317,21.0,21.137618262515986,0.3310885224680549,Low,2.227272727272727,1.0,0.1616987544316473,0.176789623834671,"Recommended Carting because delay risk is low or distance is shorter, so cost-efficient movement may be acceptable."
IND641607AAA,IND641654AAA,IND641607AAA -> IND641654AAA,Carting,Carting,False,36.0,33.501938,16.0,15.2426403574315,0.32237657812912024,Low,2.0,1.0,0.176789623834671,0.1569558815771656,"Recommended Carting because delay risk is low or distance is shorter, so cost-efficient movement may be acceptable."
IND641654AAA,IND641664AAA,IND641654AAA -> IND641664AAA,Carting,Carting,False,33.0,39.812546,26.0,20.684774324910943,0.31729489309605025,Low,1.52,1.0,0.1569558815771656,0.1602785684730931,"Recommended Carting because delay risk is low or distance is shorter, so cost-efficient movement may be acceptable."
IND560067AAC,IND562114AAA,IND560067AAC -> IND562114AAA,Carting,Carting,False,19.0,29.202639,11.0,9.405714125805195,0.33771888513283815,Low,2.833333333333333,1.0,0.1574014440453027,0.1610161637980095,"Recommended Carting because delay risk is low or distance is shorter, so cost-efficient movement may be acceptable."
IND209101AAA,IND209111AAA,IND209101AAA -> IND209111AAA,FTL,Carting,True,39.0,51.525154,44.0,22.27855680664633,0.17062767287513647,Low,1.1304347826086956,0.4545454545454545,0.1084306886515667,0.1289735285392353,"Recommended Carting because delay risk is low or distance is shorter, so cost-efficient movement may be acceptable."
IND209304AAA,IND209101AAA,IND209304AAA -> IND209101AAA,FTL,Carting,True,44.0,64.21421,13.0,19.02182913177016,0.3016056051654816,Low,2.619047619047619,0.8333333333333334,0.3050701752308708,0.1084306886515667,"Recommended Carting because delay risk is low or distance is shorter, so cost-efficient movement may be acceptable."
IND285001AAD,IND285205AAB,IND285001AAD -> IND285205AAB,FTL,Carting,True,38.0,46.055214,31.0,27.85137248703397,0.3087926888964814,Low,1.4242424242424243,0.9333333333333332,0.1593817712482975,0.1536973443098824,"Recommended Carting because delay risk is low or distance is shorter, so cost-efficient movement may be acceptable."
IND209304AAA,IND209206AAB,IND209304AAA -> IND209206AAB,Carting,Carting,False,42.0,52.09623,58.0,29.400153664742515,0.10022155913586488,Low,0.8275862068965517,0.0769230769230769,0.3050701752308708,0.0844377918623455,"Recommended Carting because delay risk is low or distance is shorter, so cost-efficient movement may be acceptable."
IND842001AAA,IND843105AAB,IND842001AAA -> IND843105AAB,FTL,Carting,True,35.0,47.19625,16.0,22.70295364859912,0.35509793344452534,Low,3.0,1.0,0.2889540210773489,0.1618463737641556,"Recommended Carting because delay risk is low or distance is shorter, so cost-efficient movement may be acceptable."
IND843105AAB,IND848101AAA,IND843105AAB -> IND848101AAA,FTL,Carting,True,36.0,47.522945,18.0,25.1054113388142,0.3304524175897807,Low,2.0,1.0,0.1618463737641556,0.1629886830811366,"Recommended Carting because delay risk is low or distance is shorter, so cost-efficient movement may be acceptable."
IND848101AAA,IND844505AAB,IND848101AAA -> IND844505AAB,FTL,Carting,True,51.0,69.07567,19.0,23.328768241358187,0.33818512739640894,Low,4.027777777777778,1.0,0.1629886830811366,0.162303031598758,"Recommended Carting because delay risk is low or distance is shorter, so cost-efficient movement may be acceptable."
IND421302AAG,IND400072AAJ,IND421302AAG -> IND400072AAJ,Carting,Carting,False,42.0,64.18389,24.0,21.760475282476616,0.4134027984888438,Medium,2.5954545454545457,1.0,0.5801920123707316,0.1779047465088425,"Recommended Carting because delay risk is low or distance is shorter, so cost-efficient movement may be acceptable."
IND400037AAA,IND400072AAJ,IND400037AAA -> IND400072AAJ,Carting,Carting,False,30.0,39.636955,13.0,9.544380546487616,0.3323484219582473,Low,3.416666666666667,1.0,0.1692066450136134,0.1779047465088425,"Recommended Carting because delay risk is low or distance is shorter, so cost-efficient movement may be acceptable."
